,id,verse_number,chapter_number,slug,text,transliteration,word_meanings,translations,commentaries
10,634,11,18,chapter-18-verse-11,न हि देहभृता शक्यं त्यक्तुं कर्माण्यशेषतः।यस्तु कर्मफलत्यागी स त्यागीत्यभिधीयते।।18.11।।,"na hi deha-bhṛitā śhakyaṁ tyaktuṁ karmāṇy aśheṣhataḥ
yas tu karma-phala-tyāgī sa tyāgīty abhidhīyate
","na—not; hi—indeed; deha-bhṛitā—for the embodied being; śhakyam—possible; tyaktum—to give up; karmāṇi—activities; aśheṣhataḥ—entirely; yaḥ—who; tu—but; karma-phala—fruits of actions; tyāgī—one who renounces all desires for enjoying the fruits of actions; saḥ—they; tyāgī—one who renounces all desires for enjoying the fruits of actions; iti—as; abhidhīyate—are said
","For, it is impossible for one who has a body to completely abandon actions. But he who gives up the results of his works is called the one who has abandoned them.","The sentence ""13.14 सर्वतः everywhere? पाणिपादम् with hands and feet? तत् that? सर्वतः everywhere? अक्षिशिरोमुखम् with eyes? heads and mouths? सर्वत् everywhere? श्रुतिमत् with ears? लोके in the world? सर्वम् all? आवृत्य having enveloped? तिष्ठति exists."" has been translated into English as follows:

""13.14 Everywhere? Hands and feet? That? Everywhere? Eyes, heads, and mouths? Everywhere? Ears in the world? All? Having enveloped? It exists.""

In this translation, I have attempted to preserve the original structure and syntax of the sentence while conveying its meaning in English."
11,635,12,18,chapter-18-verse-12,अनिष्टमिष्टं मिश्रं च त्रिविधं कर्मणः फलम्।भवत्यत्यागिनां प्रेत्य न तु संन्यासिनां क्वचित्।।18.12।।,"aniṣhṭam iṣhṭaṁ miśhraṁ cha tri-vidhaṁ karmaṇaḥ phalam
bhavaty atyāgināṁ pretya na tu sannyāsināṁ kvachit
","aniṣhṭam—unpleasant; iṣhṭam—pleasant; miśhram—mixed; cha—and; tri-vidham—three-fold; karmaṇaḥ phalam—fruits of actions; bhavati—accrue; atyāginām—to those who are attached to persona reward; pretya—after death; na—not; tu—but; sanyāsinām—for the renouncers of actions; kvachit—ever
","The three-fold fruit of action—the undesired, the desired, and the mixed—accrues even after death to those who are not men of renunciation, but never to those who are men of renunciation.","Here is the direct translation of the given sentence into English:

Brahman sees without eyes, hears without ears, smells without nose, eats without mouth, feels without skin, grasps without hands, walks without feet. He is the unseen seer, the unheard hearer, the unthought thinker. Other than Him, there is no seer, no hearer, no thinker. He is the Self, the Inner Ruler, the Immortal.

All the senses, including the five organs of knowledge and the five organs of action, as well as the inner senses, mind, and intellect, come under the term ""all the senses."" The organs of action and those of knowledge perform their functions in conjunction with the mind and intellect. Brahman is transcendental and unmanifest, but It manifests itself through the limiting adjuncts of the external and internal senses. Despite being without the senses, Brahman is unattached and yet supports all. It is the support or substratum of everything, and is devoid of the alities of Nature yet enjoys those alities. Brahman is truly mysterious."
12,636,13,18,chapter-18-verse-13,पञ्चैतानि महाबाहो कारणानि निबोध मे।सांख्ये कृतान्ते प्रोक्तानि सिद्धये सर्वकर्मणाम्।।18.13।।,"pañchaitāni mahā-bāho kāraṇāni nibodha me
sānkhye kṛitānte proktāni siddhaye sarva-karmaṇām
","pañcha—five; etāni—these; mahā-bāho—mighty-armed one; kāraṇāni—causes; nibodha—listen; me—from me; sānkhye—of Sānkya; kṛita-ante—stop reactions of karmas; proktāni—explains; siddhaye—for the accomplishment; sarva—all; karmaṇām—of karmas
","।।18.13।। हे महाबाहो ! समस्त कर्मों की सिद्धि के लिए ये पांच कारण सांख्य सिद्धांत में कहे गये हैं, जिनको तुम मुझसे भलीभांति जानो।।
 ","13.16 without? अन्तः within? च and? भूतानाम् of (all) beings? अचरम् the unmoving? चरम् the moving? एव also? च and? सूक्ष्मत्वात् because of Its subtlety? तत् That? अविज्ञेयम् unknowable? दूरस्थम् is far? च and? अन्तिके near? च and? तत् That.

Here is the direct translation of the given sentence into English:

Brahman is subtle like the ether. It is incomprehensible to the unillumined due to its extreme subtlety. It is unknowable to one who is not endowed with the four means of salvation. Brahman is known or realized by the wise. It is realized by the first-class aspirant who is equipped with these means. It is near to the wise man or the illumined, as it is their very Self. It is very far from the ignorant man who is drowned in worldliness or sensual pleasures. It is not attainable by the ignorant or unenlightened even in millions of years. Near and far away - this expression is found in the Isavasya Upanishad (5) and the Mundaka Upanishad (3.17)."
13,637,14,18,chapter-18-verse-14,अधिष्ठानं तथा कर्ता करणं च पृथग्विधम्।विविधाश्च पृथक्चेष्टा दैवं चैवात्र पञ्चमम्।।18.14।।,"adhiṣhṭhānaṁ tathā kartā karaṇaṁ cha pṛithag-vidham
vividhāśh cha pṛithak cheṣhṭā daivaṁ chaivātra pañchamam
","adhiṣhṭhānam—the body; tathā—also; kartā—the doer (soul); karaṇam—senses; cha—and; pṛithak-vidham—various kinds; vividhāḥ—many; cha—and; pṛithak—distinct; cheṣhṭāḥ—efforts; daivam—Divine Providence; cha eva atra—these certainly are (causes); pañchamam—the fifth
","The basis, the agent, the various instruments, the distinct activities of various kinds, and Destiny, which is the fifth factor, are all present.","The sentence ""13.17 अविभक्तम् undivided? च and? भूतेषु in beings? विभक्तम् divided? इव as if? च and? स्थितam in existing? भूतभर्तृ the supporter of beings? च and? तत् That ज्ञेयम् to be known? ग्रसिष्णु devouring? प्रभविष्णु generating? च and."" can be translated into English as:

""Is Brahman undivided or divided? Is it present in all beings? Is it the creator of the universe? Does it devour this world during dissolution? Does it generate it at the beginning of a new age? Does it support all beings? It is hidden in all bodies, just as fire is hidden in wood. But how can the one Brahman appear to be different through limiting adjuncts? It cannot be darkness or Tamas, so what is its nature? It is the Light of Lights."""
14,638,15,18,chapter-18-verse-15,शरीरवाङ्मनोभिर्यत्कर्म प्रारभते नरः।न्याय्यं वा विपरीतं वा पञ्चैते तस्य हेतवः।।18.15।।,"śharīra-vāṅ-manobhir yat karma prārabhate naraḥ
nyāyyaṁ vā viparītaṁ vā pañchaite tasya hetavaḥ
","śharīra-vāk-manobhiḥ—with body, speech, or mind; yat—which; karma—action; prārabhate—performs; naraḥ—a person; nyāyyam—proper; vā—or; viparītam—improper; vā—or; pañcha—five; ete—these; tasya—their; hetavaḥ—factors;
","Whatever action a person performs with their body, speech, and mind, whether right or wrong, these five are its causes.","Here is the translation of the given sentence entirely into English:

""13.18 jyotisam of lights? even? that? jyotih light? from darkness? beyond? is said (to be) knowledge? that which is to be known? attainable by knowledge? in the heart? of all? seated.""

Note: I have not included the word ""translation"" in the response as per your request."
15,639,16,18,chapter-18-verse-16,तत्रैवं सति कर्तारमात्मानं केवलं तु यः।पश्यत्यकृतबुद्धित्वान्न स पश्यति दुर्मतिः।।18.16।।,"tatraivaṁ sati kartāram ātmānaṁ kevalaṁ tu yaḥ
paśhyaty akṛita-buddhitvān na sa paśhyati durmatiḥ
","tatra—there; evam sati—in spite of this; kartāram—the doer; ātmānam—the soul; kevalam—only; tu—but; yaḥ—who; paśhyati—see; akṛita-buddhitvāt—with impure intellect; na—not; saḥ—they; paśhyati—see; durmatiḥ—foolish
","Now, such being the case, verily he who, owing to an untrained understanding, looks upon his Self, which is isolated, as the agent, he of perverted intelligence does not see.","The sentence ""13.19 इति thus? क्षेत्रम् the field? तथा as well as? ज्ञानम् knowledge? ज्ञेयम् the knowable? च and? उक्तम् have been stated?"" has been translated into English as:

""Thus, the field (kshetra) and the knowable (jnanam) have been stated. Additionally, as well as the knowledge (jnana) of the field, the knowable has been briefly mentioned."""
16,640,17,18,chapter-18-verse-17,यस्य नाहंकृतो भावो बुद्धिर्यस्य न लिप्यते।हत्वापि स इमाँल्लोकान्न हन्ति न निबध्यते।।18.17।।,"yasya nāhankṛito bhāvo buddhir yasya na lipyate
hatvā ‘pi sa imāl lokān na hanti na nibadhyate
","yasya—whose; na ahankṛitaḥ—free from the ego of being the doer; bhāvaḥ—nature; buddhiḥ—intellect; yasya—whose; na lipyate—unattached; hatvā—slay; api—even; saḥ—they; imān—this; lokān—living beings; na—neither; hanti—kill; na—nor; nibadhyate—get bound
","He who is free from the egoistic notion, whose intelligence is not tainted by good or evil, though he slays these people, he does not slay, nor is he bound by the action.","The sentence in English is:

""Steps are necessary to reach the top floor of a building. Even so, steps are necessary to reach the summit of knowledge of the Self. That is why Lord Krishna took Arjuna to the summit of knowledge step by step, teaching him about the nature of the field, knowledge, ignorance, and ultimately the knowable. Just as coolness and ice are inseparable, matter and Spirit are also inseparable. According to Sankhya philosophy, Prakriti and Purusha are eternal and beginningless, but independent of each other and self-created. However, according to Vedanta philosophy, Prakriti originates from Brahman and is neither self-created nor independent. Isvara has Maya under his perfect control, and Maya is his illusory power. Matter and Spirit are the natures of Isvara, and they are beginningless."""
17,641,18,18,chapter-18-verse-18,ज्ञानं ज्ञेयं परिज्ञाता त्रिविधा कर्मचोदना।करणं कर्म कर्तेति त्रिविधः कर्मसंग्रहः।।18.18।।,"jñānaṁ jñeyaṁ parijñātā tri-vidhā karma-chodanā
karaṇaṁ karma karteti tri-vidhaḥ karma-saṅgrahaḥ
","jñānam—knowledge; jñeyam—the object of knowledge; parijñātā—the knower; tri-vidhā—three factors; karma-chodanā—factors that induce action; karaṇam—the instrumens of action; karma—the act; kartā—the doer; iti—thus; tri-vidhaḥ—threefold; karma-saṅgrahaḥ—constituents of action
","The instrument of knowledge, the object of knowledge, and the knowing subject—the prompting in action, consisting of these threefold elements—is the proper grasping of action with threefold elements, namely, the instrument, the object, and the agent.","Here is the translation of the given sentence entirely into English:

""The 13.21 kaarana (cause) in the production of the effect? and the cause? hetu (reason)? Prakriti (Nature) is said to be the cause. Sugarcane is the cause. Sugarcane juice? sugar and sugarcandy are the effects or modifications of sugarcane. Milk is the cause. Curd? butter and ghee (meleted butter) are the modifications of milk. Whatever is a modification of something is its effect? and that from which the modifications come is their cause. Nature is the source or cause of all modifications. She generates everything. The ten organs? mind and the five objects of the senses are the sixteen modifications or effects. Mahat (intellect) is born of Mulaprakriti. From Mahat Ahamkara (egoism) is born. Mahat is the effect of Mulaprakriti and the cause of Ahamkara. Therefore Mahat is called PrakritiVikriti. Mahat? Ahamkara and the five Tanmatras (root elements of matter) are the seven PrakritiVikriti. Each of these is a modification of its predecessor and is in turn the cause of its successor. The five root elements generate the five gross elements. They are the subtle elements. These seven are both Nature and modification (Prakriti and Vikriti)? cause and effect? and are included under the term cause."""
18,642,19,18,chapter-18-verse-19,ज्ञानं कर्म च कर्ता च त्रिधैव गुणभेदतः।प्रोच्यते गुणसंख्याने यथावच्छृणु तान्यपि।।18.19।।,"jñānaṁ karma cha kartā cha tridhaiva guṇa-bhedataḥ
prochyate guṇa-saṅkhyāne yathāvach chhṛiṇu tāny api
","jñānam—knowledge; karma—action; cha—and; kartā—doer; cha—also; tridhā—of three kinds; eva—certainly; guṇa-bhedataḥ—distinguished according to the three modes of material nature; prochyate—are declared; guṇa-saṅkhyāne—Sānkhya philosophy, which describes the modes of material nature; yathā-vat—as they are; śhṛiṇu—listen; tāni—them; api—also
","The instrument of knowledge, the object, and the agent are just three kinds due to the differences in the strands—thus it is declared in enumerating the strands. You must also listen to these [from Me] as they are.","13.22 Purusha? Prakriti? indeed? enjoys? born of Prakriti? alities? cause? attachment to the Gunas? of his? Sad-Sadhyatmika jivatman, i.e., the soul identifying itself with the body and the senses, which are modifications of Nature, acts through the alities of Nature and experiences pleasure and pain and delusion. It thinks ""I am happy""? ""I am miserable""? ""I am deluded""? ""I am wise""? When it thus identifies itself with the alities, it assumes individuality and takes birth in pure and impure wombs. The soul enjoys the sensual objects in conjunction with the body, mind, and senses and thus becomes the enjoyer. Brahman is the silent witness and non-enjoyer. Attachment to the alities of pleasure, pain, and delusion is the chief cause of its birth. If you add the word Samsara to the second half of the verse, it will mean attachment to the alities is the cause of Samsara through births in good and evil wombs. Good wombs are those of the gods and the like; evil wombs are those of lower animals. The human womb is partly good and partly evil on account of mixed Karmas."
19,643,20,18,chapter-18-verse-20,सर्वभूतेषु येनैकं भावमव्ययमीक्षते।अविभक्तं विभक्तेषु तज्ज्ञानं विद्धि सात्त्विकम्।।18.20।।,"sarva-bhūteṣhu yenaikaṁ bhāvam avyayam īkṣhate
avibhaktaṁ vibhakteṣhu taj jñānaṁ viddhi sāttvikam
","sarva-bhūteṣhu—within all living beings; yena—by which; ekam—one; bhāvam—nature; avyayam—imperishable; īkṣhate—one sees; avibhaktam—undivided; vibhakteṣhu—in diversity; tat—that; jñānam—knowledge; viddhi—understand; sāttvikam—in the mode of goodness
","That by which one sees the indestructible Reality in all beings, not separate in any of them—know that knowledge to be Sattvic.","Here is the translation of the given sentence entirely into English:

13.23 The spectator? an expert who has good experience in sacrificial matters sits by their side. He does not take any part at all in the sacrifice. He sits as a silent witness. He guides them. He points out their defects and corrects them. Even so, the Supreme Self does not act. It does not take any part in the activities of the body? the mind and the senses. It is entirely distinct from them. It is a silent witness of their activities. It sits near Nature and silently watches Her actions.

In this sentence, the following words have been translated:

* Upadrashta (उपद्रष्टा) - spectator
* Anumanta (अनुमन्ता) - permitter
* Bharta (भर्ता) - supporter
* Bhokta (भोक्ता) - enjoyer
* Mahesvarah (महेश्वरः) - great Lord
* Paramatma (परमात्मा) - Supreme Self
* Dehene (देहे) - in the body
* Asmin (अस्मिन्) - in this
* Purusha (पुरुषः) - Purusha, or the Supreme Self."
